16:38:41.253 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A05;' undefined variable row.wan.A05
16:38:41.253 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.253 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A06;' undefined variable row.wan.A06
16:38:41.253 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.253 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A07;' undefined variable row.wan.A07
16:38:41.254 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.254 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A08;' undefined variable row.wan.A08
16:38:41.254 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.254 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A09;' undefined variable row.wan.A09
16:38:41.254 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.255 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A10;' undefined variable row.wan.A10
16:38:41.255 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.255 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A11;' undefined variable row.wan.A11
16:38:41.255 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.255 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A12;' undefined variable row.wan.A12
16:38:41.256 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.256 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A13;' undefined variable row.wan.A13
16:38:41.256 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,7]: 'row.wan;' undefined variable row.wan
16:38:41.256 [main] WARN  org.apache.commons.jexl2.JexlEngine - ![0,11]: 'row.wan.A14;' undefined variable row.wan.A14
